cat,probe,avg_probe_fs_0,avg_probe_fs_1,avg_probe_fs_2,avg_probe_fs_3,avg_probe_fs_4,avg_probe_fs_5,avg_probe_fs_6,avg_probe_fs_7,avg_probe_fs_8,avg_probe_fs_9
FURNITURE,carpet,65.50269227678213,58.796110262798365,59.812746122317776,61.986659165796034,59.35063891344531,65.9647994856546,60.23065177208069,59.07337458812183,60.73696054006268,56.38913445310616
VEHICLES,carriage,61.81647940074906,63.12734082397004,63.22097378277154,66.08614232209737,64.7940074906367,65.1685393258427,66.44194756554307,66.92883895131085,65.4494382022472,62.49063670411985
VEGETABLE,carrot,80.21857923497268,83.27868852459017,84.09836065573771,81.12932604735883,86.6120218579235,84.46265938069217,87.06739526411657,87.34061930783243,84.55373406193078,81.4936247723133
VEHICLES,cart,59.063670411985015,60.449438202247194,55.54307116104869,60.63670411985018,61.01123595505618,56.947565543071164,61.01123595505618,60.449438202247194,61.47940074906367,59.176029962546814
MAMMAL,cat,77.48366013071895,76.45969498910675,77.09150326797385,79.43355119825708,74.31372549019608,74.74945533769063,75.19607843137254,77.62527233115468,75.38126361655773,78.66013071895425
INSECT,caterpillar,75.81521739130434,75.63405797101449,75.54347826086956,79.80072463768116,76.17753623188406,74.90942028985508,79.98188405797102,80.07246376811594,75.45289855072464,77.08333333333333
HOUSEHOLD,ceiling,63.7847866419295,63.970315398886825,66.24860853432281,74.24860853432283,67.97031539888683,72.0630797773655,67.13543599257885,71.41372912801485,66.99072356215213,62.712430426716146
VEGETABLE,celery,80.21857923497268,76.79417122040073,86.52094717668488,87.2495446265938,83.09653916211292,77.61384335154827,83.09653916211292,80.40072859744991,82.367941712204,81.12932604735883
FURNITURE,chair,80.67990034557582,78.96809451097002,81.60411476332075,74.15816121514105,73.09330547295669,74.712689865788,78.59840874387206,75.4078598408744,77.25628867636422,78.36534597765812
BODY,cheek,79.26094709728552,77.60848028531801,76.92688725975827,76.10263522884881,78.0939171785219,79.06479096492967,77.41430552803645,78.482266693085,77.80265504259957,79.64731523677433
FRUIT,cherry,83.64642737336465,89.39114391143912,86.5649111036565,87.48742032874874,89.48339483394834,88.74538745387454,88.00738007380073,87.21066756122107,89.57564575645756,91.32841328413284
BODY,chest,75.4190608282148,78.28611056072914,72.8928076084803,71.77531206657419,76.87735288290072,73.23360412126016,71.58113730929266,74.44818704180702,72.55201109570042,74.30156528630869
BIRD,chick,73.9507299270073,74.31569343065694,73.76824817518248,70.8257299270073,76.43704379562044,76.9844890510949,76.34580291970804,67.42700729927007,71.09945255474453,75.0456204379562
FAMILY,child,71.50649350649351,69.78478664192951,65.5064935064935,70.34137291280149,66.76437847866418,66.99072356215213,70.8051948051948,64.85714285714286,70.8051948051948,66.43413729128015
HOUSEHOLD,chimney,69.8886827458256,71.61038961038962,71.51762523191094,70.07421150278293,71.79591836734693,75.98144712430425,68.86827458256029,70.68274582560296,67.14656771799629,72.72356215213358
BODY,chin,77.89974242124033,78.96968496136319,79.64929661184861,78.04636417673865,79.45512185456707,80.62017039825639,79.40558747770953,79.94055874777095,79.01723796314641,79.98811174955418
DESSERT,chocolate,90.89253187613843,91.62112932604735,91.16575591985428,91.53005464480874,91.2568306010929,90.34608378870675,90.89253187613843,91.62112932604735,87.74134790528232,92.07650273224044
SHAPE,circle,82.99638989169675,84.62093862815885,84.25992779783394,84.4404332129964,84.07942238267148,84.62093862815885,84.89169675090254,83.35740072202167,84.4404332129964,84.80144404332131
ELECTRONICS,clock,79.47787239983248,72.14854111405835,68.57461957280468,64.63772162501745,63.82102471031691,60.065614965796456,66.75973754013683,72.42077341895853,67.48569035320396,73.23747033365908
HOUSEHOLD,closet,69.46567717996291,72.7643784786642,67.65120593692022,67.65120593692022,71.4656771799629,67.83673469387756,72.11502782931353,69.83673469387756,68.30055658627087,68.39332096474953
CLOTHING,clothes,72.86423557609997,75.22684471837013,76.17702448210922,76.27118644067797,71.16076014381099,69.26896079438451,69.457284711522,71.72573189522342,73.33504536894367,72.00821777092963
WEATHER,cloud,79.44043321299638,74.8014440433213,69.71119133574007,79.53068592057761,77.72563176895306,73.80866425992781,74.62093862815884,73.17689530685921,74.35018050541515,74.53068592057761
CLOTHING,coat,82.35747303543914,80.65399760315015,85.37921588769046,86.32939565142955,82.45163499400788,82.92244478685157,83.11076870398904,81.0306454374251,84.90840609484678,81.77538092792331
BIRD,cock,74.33850364963503,71.94343065693431,74.0647810218978,76.82481751824817,68.45346715328466,72.12591240875912,77.09854014598541,70.11861313868613,68.27098540145985,66.51459854014598
DRINK,cocoa,80.61594202898551,81.97463768115942,82.06521739130434,78.07971014492753,81.8840579710145,86.59420289855072,81.5217391304348,81.5217391304348,77.89855072463769,82.33695652173914
